id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,minngsic,"Minnesota Geological Survey, Information Circular","Minnesota Geological Survey, Information Circular",0544-3105,,,,
+,123456789s/22,Serial,minpet,Mineralogy and Petrology,Mineralogy and Petrology,0930-0708,,,,
+,123456789s/22,Serial,minrec,Mineralogical Record,Mineralogical Record,0026-4628,,,,
+,123456789s/22,Serial,minrev,Mining Review,Mining Review,0711-3277,,,,
+,123456789s/22,Serial,minscip,Mining and Scientific Press,Mining and Scientific Press,0095-9731,,,,
+,123456789s/22,Serial,mintech,Mining Technology,Mining Technology,0026-5276,,,,
+,123456789s/22,Serial,minworld,Mining World,Mining World,,,,,
+,123456789s/22,Serial,mitages,"Massachusetts Institute of Technology, Age Studies","Massachusetts Institute of Technology, Age Studies",,,,,
+,123456789s/22,Serial,mitggpr,"Massachusetts Institute of Technology, Department of Geology And Geophysics, Progress Report","Massachusetts Institute of Technology, Department of Geology And Geophysics, Progress Report",0016-8033,1942-2156,,,
+,123456789s/22,Serial,mmbbull,"Manitoba Mines Branch, Bulletin","Manitoba Mines Branch, Bulletin",,,,,
+,123456789s/22,Serial,mmbgp,"Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Geological Paper","Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Geological Paper",,,,,
+,123456789s/22,Serial,mmbrsm,"Manitoba Department of Mines and Natural Resources, Mines Branch, Revised Stratigraphic Map Series","Manitoba Department of Mines and Natural Resources, Mines Branch, Revised Stratigraphic Map Series",,,,,
+,123456789s/22,Serial,mmrdegr,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Economic Geology Report","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Economic Geology Report",,1943-2682,,,
+,123456789s/22,Serial,mmrdes,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Education Series","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Education Series",,,,,
+,123456789s/22,Serial,mmrdgp,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Geological Paper","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Geological Paper",,,,,
+,123456789s/22,Serial,mmrdgr,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Geological Report","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Geological Report",0076-387X,,,,
+,123456789s/22,Serial,mmrdofr,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Open File Report","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Open File Report",,,,,
+,123456789s/22,Serial,mmrdpub,"Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Publication","Manitoba Department of Mines, Resources and Environmental Management, Mineral Resources Division, Publication",,,,,
+,123456789s/22,Serial,mmremccm,"Manitoba Department of Mines, Resources and Enviromental Management, Colour Compilation Map","Manitoba Department of Mines, Resources and Enviromental Management, Colour Compilation Map",,,,,
+,123456789s/22,Serial,mmremmbm,"Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Map","Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Map",,,,,
+,123456789s/22,Serial,mmrempub,"Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Publication","Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Publication",,,,,
+,123456789s/22,Serial,modgeol,Modern Geology,Modern Geology,,1943-2682,,,
+,123456789s/22,Serial,mremmbpm,"Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Preliminary Map","Manitoba Department of Mines, Resources and Environmental Management, Mines Branch, Preliminary Map",,,,,
+,123456789s/22,Serial,mrssymp,Materials Research Society Symposia Proceedings,Materials Research Society Symposia Proceedings,0272-9172,,,,
+,123456789s/22,Serial,msarp,McGill Sub-Arctic Research Paper,McGill Sub-Arctic Research Paper,1923-1245,0004-0843,,,
+,123456789s/22,Serial,mscius,Marine Sciences (Usa),Marine Sciences (Usa),,,,,
+,123456789s/22,Serial,msmindep,Monograph Series on Mineral Deposits,Monograph Series on Mineral Deposits,0341-6356,,,,
+,123456789s/22,Serial,msssr,"Manitoba Soil Survey, Soils Report","Manitoba Soil Survey, Soils Report",,,,,
+,123456789s/22,Serial,mtgeol,The Mountain Geologist,The Mountain Geologist,0027-254X,,,,
+,123456789s/22,Serial,mtresdev,Mountain Research and Development,Mountain Research and Development,0276-4741,,,,
+,123456789s/22,Serial,mumuspub,McGill University Museum Publication,McGill University Museum Publication,,,,,
+,123456789s/22,Serial,mungrept,Memorial University of Newfoundland Geology Report,Memorial University of Newfoundland Geology Report,,1943-2682,,,
+,123456789s/22,Serial,musk-ox,Musk-ox,Musk-ox,0077-2542,,,,
+,123456789s/22,Serial,napao,Na'pao (A Saskatchewan Anthropology Journal),Na'pao (A Saskatchewan Anthropology Journal),0077-2755,,,,
+,123456789s/22,Serial,natcan,Le Naturaliste canadien (Québec),Le Naturaliste canadien (Québec),0028-0798,,,,
+,123456789s/22,Serial,nathist,Natural History,Natural History,0028-0712,,,,
+,123456789s/22,Serial,natlgeog,National Geographic,National Geographic,0027-9358,,,,
+,123456789s/22,Serial,natoasic,"NATO Advanced Science Institutes Series, Series C: Mathematical And Physical Sciences","NATO Advanced Science Institutes Series, Series C: Mathematical And Physical Sciences",,1095-9203,,,
+,123456789s/22,Serial,natphys,Nature Physical Science,Nature Physical Science,,1095-9203,,,
+,123456789s/22,Serial,nature,Nature,Nature,0028-0836,1476-4679,,,
+,123456789s/22,Serial,nbaf,"New Brunswick Mineral Resources Branch, Assessment File","New Brunswick Mineral Resources Branch, Assessment File",,,,,
+,123456789s/22,Serial,nbic,New Brunswick Department of Natural Resources and Energy Information Circular,New Brunswick Department of Natural Resources and Energy Information Circular,,,,,
+,123456789s/22,Serial,nbmem,New Brunswick Department of Natural Resources and Energy Memoir,New Brunswick Department of Natural Resources and Energy Memoir,,,,,
+,123456789s/22,Serial,nbmp,"New Brunswick Department of Natural Resources and Energy, Map Plate","New Brunswick Department of Natural Resources and Energy, Map Plate",,,,,
+,123456789s/22,Serial,nbmr,"New Brunswick Department of Natural Resources and Energy, Map Report","New Brunswick Department of Natural Resources and Energy, Map Report",,,,,
+,123456789s/22,Serial,nbms,New Brunswick Department of Natural Resources and Energy Map Series,New Brunswick Department of Natural Resources and Energy Map Series,,,,,
+,123456789s/22,Serial,nbofr,New Brunswick Open File Report,New Brunswick Open File Report,0713-2417,,,,
+,123456789s/22,Serial,nbpa,New Brunswick Department of Natural Resources and Energy Paper,New Brunswick Department of Natural Resources and Energy Paper,,,,,
+,123456789s/22,Serial,nbpg,New Brunswick Department of Natural Resources and Energy Popular Geology Series,New Brunswick Department of Natural Resources and Energy Popular Geology Series,,1943-2682,,,
+,123456789s/22,Serial,nbpm,New Brunswick Department of Natural Resources and Energy Preliminary Map,New Brunswick Department of Natural Resources and Energy Preliminary Map,,,,,
+,123456789s/22,Serial,nbri,New Brunswick Report of Investigation,New Brunswick Report of Investigation,0829-7885,,,,
+,123456789s/22,Serial,nbrt,New Brunswick Department of Natural Resources and Energy Requests For Tender,New Brunswick Department of Natural Resources and Energy Requests For Tender,,,,,
+,123456789s/22,Serial,nbtr,New Brunswick Department of Natural Resources and Energy Topical Report,New Brunswick Department of Natural Resources and Energy Topical Report,,,,,
+,123456789s/22,Serial,ndascipr,"North Dakota Academy of Sciences, Proceedings","North Dakota Academy of Sciences, Proceedings",,,,,
+,123456789s/22,Serial,ndgsbull,"North Dakota, Geological Survey, Bulletin","North Dakota, Geological Survey, Bulletin",0096-6932,,,,
+,123456789s/22,Serial,ndgsgb,"North Dakota Geological Society, Guidebook","North Dakota Geological Society, Guidebook",,,,,
+,123456789s/22,Serial,ndgsgws,"North Dakota Geological Survey, Groundwater Studies","North Dakota Geological Survey, Groundwater Studies",0017-467X,,,,
+,123456789s/22,Serial,ndgsmap,"North Dakota Geological Survey, Geological Map","North Dakota Geological Survey, Geological Map",,,,,
+,123456789s/22,Serial,ndgsmisc,"North Dakota Geological Survey, Miscellaneous Series","North Dakota Geological Survey, Miscellaneous Series",,,,,
+,123456789s/22,Serial,ndmeminv,"Newfoundland and Labrador, Department of Mines and Energy, Mineral Inventory Project","Newfoundland and Labrador, Department of Mines and Energy, Mineral Inventory Project",,,,,
+,123456789s/22,Serial,neigconf,"Annual Meeting - New England Intercollegiate Geological Conference, Guidebook","Annual Meeting - New England Intercollegiate Geological Conference, Guidebook",0272-6130,,,,
+,123456789s/22,Serial,neoilw,Northeast Oil World,Northeast Oil World,0884-4771,,,,
+,123456789s/22,Serial,gscness,"Geological Survey of Canada, National Earth Science Series",Série nationale des sciences de la Terre,,1095-9203,,,
+,123456789s/22,Serial,newstrat,Newsletters on Stratigraphy,Newsletters on Stratigraphy,1547-139X,2331-656X,,,
+,123456789s/22,Serial,nfnresss,"Newfoundland, Department of Natural Resources, Soil Survey Bulletin","Newfoundland, Department of Natural Resources, Soil Survey Bulletin",,,,,
+,123456789s/22,Serial,ngeogres,National Geographic Research,National Geographic Research,8755-724X,,,,
+,123456789s/22,Serial,ngrccms,"Geological Survey of Canada, National Geochemical Reconnaissance Colour Compilation Map Series","Geological Survey of Canada, National Geochemical Reconnaissance Colour Compilation Map Series",,,There is considerable variation in series name and number format. The numbers are not used to correspond to datasets in the Geoscience Data Repository. This series is no longer being assigned.,,
+,123456789s/22,Serial,ngsbull,"Newfoundland and Labrador Geological Survey, Bulletin","Newfoundland and Labrador Geological Survey, Bulletin",,,,,
+,123456789s/22,Serial,ngsicirc,"Newfoundland and Labrador Geological Survey, Information Circular","Newfoundland and Labrador Geological Survey, Information Circular",,,,,
+,123456789s/22,Serial,njgeoed,Newfoundland Journal of Geological Education,Newfoundland Journal of Geological Education,0709-4426,,,,
+,123456789s/22,Serial,njgeopal,"Neues Jahrbuch Fur Geologie Und Palaeontologie, Abhandlungen","Neues Jahrbuch Fur Geologie Und Palaeontologie, Abhandlungen",0077-7749,,,,
+,123456789s/22,Serial,njgeopam,"Neues Jahrbuch Fur Geologie Und Palaeontologie, Monatschefte","Neues Jahrbuch Fur Geologie Und Palaeontologie, Monatschefte",0028-3630,,,,
+,123456789s/22,Serial,njminabh,Neues Jarhbuch Fur Mineralogie Abhandlungen,Neues Jarhbuch Fur Mineralogie Abhandlungen,0077-7757,,,,
+,123456789s/22,Serial,njminmon,"Neues Jahrbuch für Mineralogie, Monatschefte","Neues Jahrbuch für Mineralogie, Monatschefte",0028-3649,,,,
+,123456789s/22,Serial,nmbuminb,"New Mexico Bureau of Mines & Mineral Resources, Bulletin","New Mexico Bureau of Mines & Mineral Resources, Bulletin",0096-4581,,,,
+,123456789s/22,Serial,nmcanthp,"National Museum of Canada, Anthropology Paper","National Museum of Canada, Anthropology Paper",,,,,
+,123456789s/22,Serial,nmcbull,"National Museum of Canada, Bulletin","National Museum of Canada, Bulletin",,,,,
+,123456789s/22,Serial,nmcnhpap,"Canada National Museums, Natural History Paper","Canada National Museums, Natural History Paper",,,,,
+,123456789s/22,Serial,nmcppale,National Museum of Canada Publications in Paleontology,National Museum of Canada Publications in Paleontology,,,,,
+,123456789s/22,Serial,nmddaf,"Newfoundland and Labrador Mineral Development Division, Assessment File","Newfoundland and Labrador Mineral Development Division, Assessment File",,,,,
+,123456789s/22,Serial,nmddcont,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Contribution","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Contribution",,,,,
+,123456789s/22,Serial,nmddcurr,"Newfoundland and Labrador Mineral Development Division, Current Activities","Newfoundland and Labrador Mineral Development Division, Current Activities",,,,,
+,123456789s/22,Serial,nmddedus,"Newfoundland and Labrador Mineral Development Division, Educational Slide Series","Newfoundland and Labrador Mineral Development Division, Educational Slide Series",,,,,
+,123456789s/22,Serial,nmddid,"Newfoundland and Labrador Mineral Development Division, Intern. Doc.","Newfoundland and Labrador Mineral Development Division, Intern. Doc.",,,,,
+,123456789s/22,Serial,nmddigb,"Newfoundland and Labrador Mineral Development Division, Internal Guidebook","Newfoundland and Labrador Mineral Development Division, Internal Guidebook",,,,,
+,123456789s/22,Serial,nmddirc,"Newfoundland and Labrador Mineral Development Division, Internal Report, Consultants","Newfoundland and Labrador Mineral Development Division, Internal Report, Consultants",,,,,
+,123456789s/22,Serial,nmddirm,"Newfoundland and Labrador Mineral Development Division, Internal Report, Miscellaneous","Newfoundland and Labrador Mineral Development Division, Internal Report, Miscellaneous",,,,,
+,123456789s/22,Serial,nmddirs,"Newfoundland and Labrador Mineral Development Division, Internal Report, Series","Newfoundland and Labrador Mineral Development Division, Internal Report, Series",,,,,
+,123456789s/22,Serial,nmddirt,"Newfoundland and Labrador Mineral Development Division, Internal Report, Technical","Newfoundland and Labrador Mineral Development Division, Internal Report, Technical",,,,,
+,123456789s/22,Serial,nmddiru,"Newfoundland and Labrador Mineral Development Division, Internal Report, University","Newfoundland and Labrador Mineral Development Division, Internal Report, University",,,,,
+,123456789s/22,Serial,nmddmap,"Newfoundland and Labrador Mineral Development Division, Map","Newfoundland and Labrador Mineral Development Division, Map",,,,,
+,123456789s/22,Serial,nmddmem,"Newfoundland and Labrador, Department of Mines and Energy, Mineral Development Division, Memoir","Newfoundland and Labrador, Department of Mines and Energy, Mineral Development Division, Memoir",,,,,
+,123456789s/22,Serial,nmddmom,"Newfoundland and Labrador Mineral Development Division, Mineral Occurrence Map","Newfoundland and Labrador Mineral Development Division, Mineral Occurrence Map",,,,,
+,123456789s/22,Serial,nmddof,"Newfoundland and Labrador Mineral Development Division, Open File","Newfoundland and Labrador Mineral Development Division, Open File",,,,,
